,Subject_num,Subject_origin,Subject_residence,Mu,Regime,Average_degree,Betweenness,Closeness,Load centrality,Assortativity,Clustering,Number_components,Size_largest_component,Closeness_residence,Number_residence,Closeness_origin,Number_origin,SEX,AGE,BORN,DAD,MOM,MARR,CHILD,CBORN,CMOM,EMP,EDUC,FMIG,TVIS,VEU,SPAN,NLAN,SASS,HASS,HMUS,SMUS,HTV,STV,SMOV,HMOV,NREA,RSPA,WNAT,WSPA,TSPA,TNAT,CHOM,CSPA,FID,MID,FGRO,FSPA,HCOO,NSPA,FHOM,IANG,IHYP,ISPA,SMON,WREC,BNEW,HEA,SMOK,TALL,KILO,VDOC,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,HEAL,RACE,PAP,DEP,REAS,RACM,SGOO,RELG,ASEX01N,ASEX01P,ASEX02N,ASEX02P,ASEXN8N,ASEXN8P,ASEXN9N,ASEXN9P,ARAC01N,ARAC01P,ARAC02N,ARAC02P,ARAC03N,ARAC03P,ARAC04N,ARAC04P,AOL201N,AOL201P,AOL202N,AOL202P,AOL203N,AOL203P,AOL204N,AOL204P,AOL205N,AOL205P,AOL206N,AOL206P,AOL207N,AOL207P,AOL208N,AOL208P,AOL209N,AOL209P,AOL210N,AOL210P,AOL2N8N,AOL2N8P,AOL2N9N,AOL2N9P,ATIM_MN,ATIM_SD,CLOS01N,CLOS01P,CLOS02N,CLOS02P,CLOS03N,CLOS03P,CLOS04N,CLOS04P,CLOS05N,CLOS05P,AFRM01N,AFRM01P,AFRM02N,AFRM02P,AFRM03N,AFRM03P,AFRM04N,AFRM04P,AFRM05N,AFRM05P,AFRM06N,AFRM06P,AFRM07N,AFRM07P,AFRM08N,AFRM08P,AFRM09N,AFRM09P,AFRM10N,AFRM10P,AFRM11N,AFRM11P,AFRMN8N,AFRMN8P,AFRMN9N,AFRMN9P,AFRQ01N,AFRQ01P,AFRQ02N,AFRQ02P,AFRQ03N,AFRQ03P,AFRQ04N,AFRQ04P,AFRQ05N,AFRQ05P,AFRQ06N,AFRQ06P,AFRQ07N,AFRQ07P,AREL01N,AREL01P,AREL02N,AREL02P,AREL03N,AREL03P,AREL04N,AREL04P,AREL05N,AREL05P,AREL06N,AREL06P,AREL07N,AREL07P,AREL08N,AREL08P,AREL09N,AREL09P,AREL10N,AREL10P,AREL11N,AREL11P,AREL12N,AREL12P,AREL13N,AREL13P,ALIV01N,ALIV01P,ALIV02N,ALIV02P,ALIV03N,ALIV03P,ALIV04N,ALIV04P,ALIV05N,ALIV05P,ALIV06N,ALIV06P,ALIV07N,ALIV07P,ACITN8N,ACITN8P,ACITN9N,ACITN9P,APRO01N,APRO01P,APRO02N,APRO02P,ASMO01N,ASMO01P,ASMO02N,ASMO02P,TIEDCA,TIEDCM,TIECCA,TIECCM,TIEBCA,TIEBCM,TIEISO,TIEDYD,TIECMP,TIEDEN,TIEDC,TIECC,TIEBC,TIECND,TIECCZ,DSET,COUNTRY,SCALEV,SCALEA,NEI1,NEI2,NEI3,NEI4,NEI5,NEI6,NEI7,NEI8,NEI9,NE10,NE11,NE12,APRON8N,APRON8P,APRON9N,APRON9P,ASMO03N,ASMO03P,ASMO04N,ASMO04P,SPOUS,CYEAR,LVIS,LANG,HMON,GSPE,EXER,NDOC,OMED,WOR1,WOR2,WOR3,CHNG,TRAN,TRN2,ACON01N,ACON01P,ACON02N,ACON02P,ACON03N,ACON03P,ACON04N,ACON04P,ACON05N,ACON05P,ACONN8N,ACONN8P,ACONN9N,ACONN9P,AHLP01N,AHLP01P,AHLP02N,AHLP02P,AHLPN8N,AHLPN8P,AHLPN9N,AHLPN9P,CLOSN8N,CLOSN8P,CLOSN9N,CLOSN9P,AFRQN8N,AFRQN8P,AFRQN9N,AFRQN9P,ARELN8N,ARELN8P,ARELN9N,ARELN9P,NBORN,NMOM,NDAD,SPA2,ACOUNTRY,ICOM,IETH,ICUB,AFRM12N,AFRM12P,ALIV08N,ALIV08P,ALIV09N,ALIV09P,ALIV11N,ALIV11P,ALIV12N,ALIV12P,APRO00N,APRO00P,ASMO00N,ASMO00P,CANY,SPENJ,IGRP,AFRM13N,AFRM13P,ALIV10N,ALIV10P,ALIV13N,ALIV13P,TIEQ,SPANISH,HEAL2,SCLAEA,GROUP,SMOKE,DEPRESS,YDOC,FIRSTGEN,STRONG,SEEWEEK,FAMILY,ABOVE50,DOMINICA,WHITE,NEVMAR,EMPLOY,EDUCATIO,ASMOKE,MOS,AOS,ACCULTUR,ALEVEL,FMIG2
4230,74,do,usa,-0.20356747635019,Unclear,43.9555555555556,0.01330712297463,0.999012345679012,0.006561135139048,-0.045454545449742,0.608200252907082,1,1,2.78947368421053,19,2.47619047619048,21,2,19,2,2,2,1,0,,3,2,4,1.64051357977013E-303,1,0,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,3,1,5,1,2,2,1,1,1,151,114,1.64051357977013E-303,1,2,1,1,1,1,1,0,3,0,0,1,2,19,2,25,0.55556,20,0.44444,0,0,0,0,20,0.44444,13,0.28889,12,0.26667,0,0,6,0.13333,11,0.24444,13,0.28889,5,0.11111,7,0.15556,3,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,8.2444,6.7434,6,0.13333,7,0.15556,7,0.15556,10,0.22222,15,0.33333,19,0.42222,21,0.46667,1,0.02222,1,0.02222,1,0.02222,1,0.02222,0,0,1,0.02222,,,,,,,0,0,0,0,21,0.46667,11,0.24444,5,0.11111,3,0.06667,2,0.04444,1,0.02222,2,0.04444,2,0.04444,15,0.33333,2,0.04444,6,0.13333,4,0.08889,1,0.02222,6,0.13333,1,0.02222,1,0.02222,2,0.04444,4,0.08889,1,0.02222,0,0,35,0.77778,6,0.13333,1,0.02222,2,0.04444,0,0,0,0,0,0,0,0,0,0,25,0.55556,,,9,0.2,,,27.77778,50,55.73,65.67,1.91,8.87,0,0,1,0.27778,75.5814,20.5729,7.12614,9,0.62,rc1f1de,,,2,5,0,,,,,,,,,,,,,,,,,,,,,-99,-99,1.64051357977013E-303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,,,1,0.02222,,,,,,0
4275,75,do,usa,0.299993899014368,Standard,43.9555555555556,0.004038858838654,0.999012345679012,0.002490016443505,-0.045454545449742,0.400135874884947,1,1,3.57777777777778,45,0,0,1,26,1,2,2,1,0,,2,3,4,0,0,0,5,4,5,5,5,5,2,5,5,1,1,5,1,5,5,1,2,5,5,5,5,1,5,3,5,1,5,5,1,-99,0,2,4,68,1.64051357976954E-303,1.64051357977013E-303,2,2,1,2,3,1,1,0,4,1,-99,-99,2,0,5,40,0.88889,5,0.11111,0,0,0,0,24,0.53333,8,0.17778,9,0.2,4,0.08889,0,0,6,0.13333,37,0.82222,2,0.04444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4222,5.6075,12,0.26667,15,0.33333,11,0.24444,6,0.13333,1,0.02222,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.15556,9,0.2,5,0.11111,4,0.08889,9,0.2,3,0.06667,8,0.17778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.48889,18,0.4,0,0,5,0.11111,0,0,45,1,0,0,0,0,0,0,0,0,0,0,4,0.08889,1,0.02222,25,0.55556,,,23,0.51111,,,10.60606,25,320.01,1900,0.46,4.39,6,0,4,0.10606,90.46941,3223.87238,3.95525,1,0.8,rc2f1de,,,2,2,3,,,,,,,,,,,,,,,,,,,,,-99,-99,1.64051357977013E-303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,,us,,,,,,,0,0,0,0,0,0,0,0,0,0
4320,76,do,usa,-0.157214973253665,Unclear,43.9555555555556,0.006084096781771,0.999012345679012,0.006084096781771,-0.045454545449742,0.464120469619971,1,1,2.56756756756757,37,3.14285714285714,7,1,20,1,2,2,1,0,,3,3,3,0,0,1,5,4,4,5,5,5,4,5,5,3,2,3,3,5,5,4,4,5,5,5,2,1,5,3,4,1,5,4,1,-99,0,1,1,73,1.64051357976954E-303,1.64051357977013E-303,1,1,2,3,3,1,1,0,3,1,-99,-99,2,0,2,33,0.73333,12,0.26667,0,0,0,0,4,0.08889,14,0.31111,27,0.6,0,0,0,0,33,0.73333,8,0.17778,1,0.02222,1,0.02222,1,0.02222,1,0.02222,0,0,0,0,0,0,0,0,0,0,5.0889,4.3401,0,0,12,0.26667,18,0.4,11,0.24444,4,0.08889,0,0,37,0.82222,0,0,0,0,0,0,7,0.15556,0,0,0,0,0,0,0,0,1,0.02222,0,0,0,0,6,0.13333,10,0.22222,5,0.11111,5,0.11111,7,0.15556,9,0.2,3,0.06667,1,0.02222,5,0.11111,2,0.04444,0,0,0,0,0,0,0,0,6,0.13333,0,0,0,0,29,0.64444,2,0.04444,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.51111,,,11,0.24444,,,26.16162,57,48.32,63.77,2.58,16.04,0,0,1,0.26162,77.27273,31.95567,13.75815,15,0.71,rc2f1de,,,2,3,0,,,,,,,,,,,,,,,,,,,,,-99,-99,1.64051357977013E-303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,,us,,,,,,,0,0,0,0,0,0,0,0,0,0
4365,77,do,usa,0.168712949128146,Unclear,43.9555555555556,0.006394769003856,0.999012345679012,0.002349072116514,-0.045454545449742,0.433507998586209,1,1,3.5,6,3.26315789473684,38,2,19,2,2,2,1,0,,3,3,4,1.64051357977012E-303,4,0,5,5,4,4,5,5,4,5,5,3,3,5,3,5,5,3,5,4,5,5,4,3,5,4,5,2,5,4,2,4,1,4,1,64,1.64051357976955E-303,1.64051357977013E-303,2,4,4,3,2,2,3,0,3,1,0,4,2,1,2,23,0.51111,22,0.48889,0,0,0,0,15,0.33333,15,0.33333,15,0.33333,0,0,1,0.02222,13,0.28889,14,0.31111,5,0.11111,7,0.15556,3,0.06667,1,0.02222,1,0.02222,0,0,0,0,0,0,0,0,12.6222,6.6074,15,0.33333,6,0.13333,7,0.15556,10,0.22222,7,0.15556,0,0,6,0.13333,0,0,0,0,0,0,38,0.84444,0,0,0,0,0,0,0,0,1,0.02222,0,0,0,0,10,0.22222,10,0.22222,2,0.04444,3,0.06667,4,0.08889,10,0.22222,6,0.13333,3,0.06667,24,0.53333,4,0.08889,1,0.02222,0,0,0,0,3,0.06667,0,0,0,0,3,0.06667,3,0.06667,3,0.06667,1,0.02222,0,0,32,0.71111,0,0,0,0,0,0,13,0.28889,0,0,0,0,0,0,22,0.48889,,,12,0.26667,,,10,66,40.39,69.35,3.36,70.68,1,0,1,0.1,93.79845,60.12739,68.83494,4,0.88,rc2f2de,,,2,5,,,,,,,,,,,,,,,,,,,,,,-99,-99,1.64051357977013E-303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,0,0,0,0,0,0,0,0,0,0
4410,78,do,usa,-0.044482540400549,Unclear,43.9555555555556,0.003483006965814,0.999012345679012,0.002325581395349,-0.045454545449742,0.3915520692833,1,1,3.03703703703704,27,2.73333333333333,15,1,23,1,2,2,2,0,0,3,1,4,0,0,0,5,4,3,5,5,3,3,5,5,3,1,5,1,5,5,2,1,5,5,5,5,1,5,2,5,2,5,4,1,-99,-99,3,1,64,1.64051357976953E-303,1.64051357977013E-303,1,1,2,1,1,1,1,,1,1,-99,4,2,0,2,22,0.48889,23,0.51111,,,,,22,0.48889,1,0.02222,22,0.48889,0,0,0,0,0,0,29,0.64444,10,0.22222,0,0,0,0,4,0.08889,0,0,0,0,0,0,,,,,,,13,0.28889,5,0.11111,11,0.24444,4,0.08889,12,0.26667,0,0,27,0.6,0,0,0,0,1,0.02222,15,0.33333,0,0,0,0,0,0,0,0,0,0,,,,,7,0.15556,4,0.08889,6,0.13333,7,0.15556,8,0.17778,5,0.11111,7,0.15556,1,0.02222,7,0.15556,5,0.11111,2,0.04444,0,0,0,0,0,0,0,0,0,0,17,0.37778,13,0.28889,0,0,0,0,0,0,44,0.97778,0,0,0,0,0,0,1,0.02222,0,0,,,,,14,0.31111,31,0.68889,30,0.66667,2,0.04444,9.89899,45,664.49,4100,1.47,26.25,3,2,3,0.09899,93.04878,7036.5303,25.28999,4,0.87,rdde,,,,,,2,4,0,,,,,,,,,,,,,,,,,12,0.26667,1,0.02222,1,0,1.64051357977013E-303,,-99,0,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,27,0.6,8,0.17778,0,0,4,0.08889,6,0.13333,,,,,14,0.31111,30,0.66667,,,,,,,,,,,,,,,,,2,6,6,,us,,,,,,,1,0.02222,0,0,0,0,0
4455,79,do,usa,-0.215320849189453,Inverted,43.9555555555556,0.008731749504436,0.999012345679012,0.005496828752643,-0.045454545449742,0.498081843576341,1,1,2.64516129032258,31,2.41666666666667,12,1,19,1,2,2,1,0,0,2,3,4,0,0,0,5,4,5,5,4,5,2,4,5,3,2,3,1,1,5,3,3,5,5,5,4,1,5,1,5,1,5,1,1,-99,-99,3,3,76,150,1.64051357977013E-303,1,1,2,2,1,1,2,,1,1,-99,1,3,1,2,31,0.68889,14,0.31111,,,,,12,0.26667,5,0.11111,28,0.62222,0,0,1,0.02222,16,0.35556,17,0.37778,0,0,3,0.06667,5,0.11111,0,0,0,0,0,0,0,0,,,,,,,0,0,6,0.13333,15,0.33333,19,0.42222,5,0.11111,0,0,31,0.68889,1,0.02222,0,0,0,0,12,0.26667,0,0,0,0,0,0,1,0.02222,0,0,,,,,3,0.06667,14,0.31111,10,0.22222,7,0.15556,3,0.06667,1,0.02222,3,0.06667,1,0.02222,21,0.46667,1,0.02222,0,0,0,0,0,0,3,0.06667,0,0,1,0.02222,9,0.2,3,0.06667,6,0.13333,0,0,0,0,39,0.86667,0,0,0,0,0,0,2,0.04444,0,0,,,,,16,0.35556,29,0.64444,21,0.46667,9,0.2,23.53535,52,49.87,66.15,2.26,19.58,1,0,1,0.23535,78.95902,33.58142,17.68135,13,0.78,rc1de,,,,,2,5,5,,,,,,,,,,,,,,,,,11,0.24444,4,0.08889,-99,0,1.64051357977013E-303,,-99,10,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,41,0.91111,4,0.08889,0,0,0,0,0,0,,,,,35,0.77778,10,0.22222,,,,,,,,,,,,,,,,,2,6,6,,us,,,,,,,0,0,0,0,0,0,4,0
4500,81,do,usa,-0.445362747096825,Inverted,43.9555555555556,0.000769175849142,0.999012345679012,0.000540286586798,-0.045454545449742,0.342359793157054,1,1,2.375,24,2.11111111111111,9,2,32,2,2,2,1,1,0,3,1,5,1.64051357977012E-303,0,0,5,3,5,4,3,4,4,4,4,1,3,4,3,3,5,2,3,5,5,5,2,2,5,3,2,1,1,1,2,2,2,2,3,53,125,1.64051357977013E-303,1,2,2,3,1,1,1,,3,1,2,4,2,5,2,14,0.31111,31,0.68889,,,,,13,0.28889,19,0.42222,13,0.28889,0,0,0,0,0,0,3,0.06667,32,0.71111,2,0.04444,6,0.13333,2,0.04444,0,0,0,0,0,0,,,,,,,0,0,5,0.11111,18,0.4,10,0.22222,12,0.26667,0,0,24,0.53333,0,0,0,0,0,0,9,0.2,1,0.02222,0,0,1,0.02222,3,0.06667,5,0.11111,,,,,7,0.15556,1,0.02222,4,0.08889,6,0.13333,15,0.33333,11,0.24444,1,0.02222,0,0,6,0.13333,2,0.04444,6,0.13333,1,0.02222,0,0,2,0.04444,0,0,4,0.08889,6,0.13333,12,0.26667,2,0.04444,4,0.08889,0,0,42,0.93333,0,0,0,0,0,0,1,0.02222,0,0,,,,,26,0.57778,19,0.42222,30,0.66667,3,0.06667,2.22222,14,393.66,2300,0.12,2.33,21,2,4,0.02222,100.39526,4462.27913,2.20609,0,0.96,rc1de,,,,,2,1,0,,,,,,,,,,,,,,,,,8,0.17778,4,0.08889,-99,1.64051357977013E-303,1.64051357977013E-303,,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,0.11111,27,0.6,1,0.02222,12,0.26667,0,0,,,,,15,0.33333,30,0.66667,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,2,0.04444,0,0,0,0,1,0
4545,83,do,usa,-0.39029324007154,Inverted,43.9555555555556,0.007377660607895,0.999012345679012,0.003735024665257,-0.045454545449742,0.463306597728218,1,1,2.33333333333333,15,2.33333333333333,21,2,24,2,2,2,1,0,0,2,1,4,1.64051357977013E-303,1,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,3,5,2,5,1,4,1,3,2,1,1,1,5,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,2,4,1,8,2,16,0.35556,29,0.64444,,,,,12,0.26667,9,0.2,24,0.53333,0,0,0,0,3,0.06667,31,0.68889,3,0.06667,3,0.06667,5,0.11111,0,0,0,0,0,0,0,0,,,,,,,1,0.02222,4,0.08889,19,0.42222,11,0.24444,10,0.22222,0,0,15,0.33333,0,0,0,0,0,0,21,0.46667,0,0,0,0,0,0,6,0.13333,2,0.04444,,,,,7,0.15556,9,0.2,7,0.15556,4,0.08889,7,0.15556,2,0.04444,9,0.2,1,0.02222,7,0.15556,1,0.02222,0,0,1,0.02222,0,0,4,0.08889,1,0.02222,0,0,11,0.24444,14,0.31111,5,0.11111,0,0,0,0,40,0.88889,0,0,0,0,0,0,5,0.11111,0,0,,,,,32,0.71111,13,0.28889,34,0.75556,6,0.13333,15.9596,84,51.28,86,2.08,44.69,1,0,1,0.1596,87.26467,71.69484,43.55239,8,0.85,rc2de,,,,,2,4,3,,,,,,,,,,,,,,,,,3,0.06667,2,0.04444,-99,0,1.64051357977013E-303,,5,1.64051357976958E-303,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,19,0.42222,22,0.48889,1,0.02222,1,0.02222,2,0.04444,,,,,36,0.8,9,0.2,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,1,0.02222,0,0,0,0,0,0
4590,84,do,usa,0.518886884262919,Standard,43.9555555555556,0.004637560129984,0.999012345679012,0.00328870096312,-0.045454545449742,0.418597432789762,1,1,4.30434782608696,23,3.3125,16,2,19,2,2,2,1,0,0,3,3,4,1.64051357977013E-303,0,0,5,3,4,4,2,4,2,4,3,1,1,5,1,1,4,2,1,5,5,5,3,2,5,2,2,1,5,4,1,-99,-99,1,1,64,117,1.64051357977013E-303,1,2,2,2,2,1,1,,3,1,-99,4,1,0,5,17,0.37778,28,0.62222,,,,,24,0.53333,8,0.17778,13,0.28889,0,0,0,0,19,0.42222,16,0.35556,2,0.04444,5,0.11111,1,0.02222,2,0.04444,0,0,0,0,0,0,,,,,,,18,0.4,17,0.37778,5,0.11111,2,0.04444,3,0.06667,0,0,23,0.51111,0,0,0,0,0,0,16,0.35556,0,0,0,0,0,0,1,0.02222,5,0.11111,,,,,5,0.11111,0,0,2,0.04444,2,0.04444,12,0.26667,6,0.13333,18,0.4,0,0,13,0.28889,3,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,8,0.17778,18,0.4,3,0.06667,0,0,0,0,42,0.93333,0,0,0,0,0,0,2,0.04444,0,0,,,,,11,0.24444,34,0.75556,44,0.97778,1,0.02222,14.0404,50,375.58,1900,0.74,9.28,6,0,4,0.1404,85.633,3064.98737,8.65523,5,0.84,rc2de,,,,,2,4,3,,,,,,,,,,,,,,,,,0,0,0,0,-99,0,0,,-99,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,27,0.6,8,0.17778,0,0,10,0.22222,0,0,,,,,21,0.46667,24,0.53333,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,0,0,0,0,0,0,1,0
4635,85,do,usa,-0.111710749094794,Unclear,43.9555555555556,0.003875284456891,0.999012345679012,0.001315480385248,-0.045454545449742,0.389099720079967,1,1,2.66666666666667,24,2.73333333333333,15,2,23,2,2,2,1,0,0,2,1,4,1.64051357977013E-303,1,0,5,5,5,4,5,5,3,4,5,3,3,5,2,5,5,3,4,5,5,5,5,2,5,3,4,2,5,1,1,-99,-99,2,1,5,137,1.64051357977013E-303,2,1,2,1,1,1,1,,1,1,-99,4,2,0,2,17,0.37778,28,0.62222,,,,,37,0.82222,1,0.02222,7,0.15556,0,0,0,0,2,0.04444,20,0.44444,7,0.15556,10,0.22222,4,0.08889,2,0.04444,0,0,0,0,0,0,,,,,,,3,0.06667,12,0.26667,14,0.31111,9,0.2,7,0.15556,0,0,24,0.53333,0,0,0,0,0,0,15,0.33333,0,0,0,0,0,0,0,0,5,0.11111,,,,,17,0.37778,4,0.08889,3,0.06667,8,0.17778,6,0.13333,1,0.02222,6,0.13333,1,0.02222,13,0.28889,2,0.04444,9,0.2,2,0.04444,0,0,4,0.08889,0,0,0,0,8,0.17778,3,0.06667,2,0.04444,1,0.02222,0,0,35,0.77778,0,0,0,0,0,0,9,0.2,0,0,,,,,18,0.4,27,0.6,29,0.64444,11,0.24444,5.55556,34,24.85,49.23,2.57,22.68,12,0,1,0.05556,95.3629,55.49941,20.47192,1,0.92,rcde,,,,,,2,3,3,,,,,,,,,,,,,,,,,4,0.08889,1,0.02222,-99,0,1.64051357977013E-303,,-99,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,23,0.51111,11,0.24444,3,0.06667,6,0.13333,2,0.04444,,,,,17,0.37778,28,0.62222,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,1,0.02222,0,0,0,0,0
4680,87,do,usa,0.882428645977783,Standard,43.9555555555556,0.002091561802132,0.999012345679012,0.001409443269908,-0.045454545449742,0.365706479886486,1,1,4.62962962962963,27,3.94444444444444,18,2,24,2,2,2,1,0,0,3,1,4,1.64051357977013E-303,0,0,5,4,4,5,5,5,5,5,5,4,2,5,2,5,5,4,4,5,5,5,4,1,5,1,5,1,1,1,1,-99,-99,1,1,62,127,1.64051357977013E-303,1,1,1,1,1,1,1,,4,1,-99,4,2,2,6,16,0.35556,29,0.64444,,,,,12,0.26667,7,0.15556,12,0.26667,14,0.31111,0,0,5,0.11111,33,0.73333,6,0.13333,1,0.02222,0,0,0,0,0,0,0,0,0,0,,,,,,,29,0.64444,9,0.2,4,0.08889,2,0.04444,1,0.02222,0,0,27,0.6,0,0,0,0,0,0,18,0.4,0,0,0,0,0,0,0,0,0,0,,,,,9,0.2,1,0.02222,8,0.17778,2,0.04444,15,0.33333,4,0.08889,6,0.13333,0,0,7,0.15556,1,0.02222,8,0.17778,0,0,0,0,3,0.06667,0,0,0,0,14,0.31111,6,0.13333,2,0.04444,4,0.08889,0,0,45,1,0,0,0,0,0,0,0,0,0,0,,,,,7,0.15556,38,0.84444,34,0.75556,2,0.04444,5.9596,20,182.32,1500,0.91,8.88,14,0,3,0.0596,93.33333,2915.46974,7.821,2,0.9,rcde,,,,,,2,4,0,,,,,,,,,,,,,,,,,6,0.13333,3,0.06667,-99,0,1.64051357977013E-303,,-99,0,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,23,0.51111,16,0.35556,0,0,5,0.11111,1,0.02222,,,,,15,0.33333,30,0.66667,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,0,0,0,0,0,0,0
4725,88,do,usa,-0.011111705584265,Unclear,43.9555555555556,0.008055543415232,0.999012345679012,0.002349072116514,-0.045454545449742,0.459538043207129,1,1,3.03225806451613,31,2.75,4,1,39,2,6,2,1,0,0,2,1,4,1.64051357977012E-303,3,1,4,4,4,3,3,4,1,5,5,2,3,4,3,4,3,3,4,5,1,5,3,3,4,4,3,3,4,3,3,6,1,1,3,1.64051357976965E-303,1.64051357976955E-303,1.64051357977013E-303,1,2,1,1,1,1,1,,1,1,2,4,1,2,2,32,0.71111,13,0.28889,,,,,26,0.57778,2,0.04444,9,0.2,8,0.17778,0,0,0,0,4,0.08889,15,0.33333,12,0.26667,6,0.13333,1,0.02222,2,0.04444,0,0,0,0,,,,,,,11,0.24444,0,0,13,0.28889,16,0.35556,5,0.11111,9,0.2,31,0.68889,1,0.02222,0,0,0,0,4,0.08889,0,0,0,0,0,0,0,0,0,0,,,,,11,0.24444,6,0.13333,1,0.02222,7,0.15556,8,0.17778,7,0.15556,5,0.11111,11,0.24444,5,0.11111,9,0.2,9,0.2,2,0.04444,2,0.04444,4,0.08889,1,0.02222,2,0.04444,0,0,0,0,0,0,0,0,2,0.04444,39,0.86667,0,0,0,0,0,0,4,0.08889,0,0,,,,,33,0.73333,12,0.26667,19,0.42222,14,0.31111,10,39,38.72,59.72,3.57,30.02,1,0,1,0.1,93.79845,43.36993,27.00795,5,0.89,rc1de,,,,,2,4,5,,,,,,,,,,,,,,,,,5,0.11111,7,0.15556,-99,0,1.64051357977013E-303,,4,1.64051357976981E-303,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,30,0.66667,13,0.28889,0,0,0,0,2,0.04444,,,,,24,0.53333,21,0.46667,,,,,,,,,,,,,,,,,6,6,14,,us,,,,,,,0,0,0,0,0,0,0,0
4770,90,do,usa,-0.20356747635019,Unclear,43.9555555555556,0.001925171375489,0.999012345679012,0.001902748414376,-0.045454545449742,0.370200282599214,1,1,2.86206896551724,29,2.125,16,2,18,2,2,2,1,0,0,3,2,2,1.64051357977013E-303,0,0,3,5,3,5,5,3,5,4,4,4,4,4,2,5,4,4,2,4,5,5,5,2,5,2,5,1,5,-99,3,8,2,2,1,56,1.64051357976956E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,1,4,2,10,2,21,0.46667,24,0.53333,,,,,13,0.28889,9,0.2,23,0.51111,0,0,0,0,24,0.53333,7,0.15556,2,0.04444,6,0.13333,1,0.02222,1,0.02222,2,0.04444,0,0,0,0,,,,,,,8,0.17778,4,0.08889,14,0.31111,7,0.15556,12,0.26667,0,0,29,0.64444,0,0,0,0,0,0,16,0.35556,0,0,0,0,0,0,0,0,0,0,,,,,26,0.57778,5,0.11111,4,0.08889,0,0,1,0.02222,0,0,7,0.15556,0,0,15,0.33333,0,0,1,0.02222,1,0.02222,0,0,4,0.08889,0,0,0,0,3,0.06667,10,0.22222,0,0,10,0.22222,1,0.02222,39,0.86667,1,0.02222,0,0,0,0,0,0,0,0,,,,,19,0.42222,26,0.57778,37,0.82222,2,0.04444,8.08081,50,32.09,95.83,0.47,9.55,21,0,1,0.08081,77.47036,94.72721,9.05415,10,1,rc2de,,,,,2,1,3,,,,,,,,,,,,,,,,,1,0.02222,5,0.11111,-99,0,0,,5,1.64051357976958E-303,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,25,0.55556,12,0.26667,1,0.02222,0,0,7,0.15556,,,,,19,0.42222,26,0.57778,,,,,,,,,,,,,,,,,6,6,6,,us,,,,,,,0,0,0,0,0,0,3,0
